src_ip,dst_ip,protocol,length,timestamp,label
192.168.1.3,192.168.1.5,17,666,2024-11-29 20:53:53,0
192.168.1.1,192.168.1.2,6,1467,2024-11-29 20:53:54,1
192.168.1.5,192.168.1.5,6,971,2024-11-29 20:53:55,1
192.168.1.1,192.168.1.5,6,1108,2024-11-29 20:53:56,0
192.168.1.4,192.168.1.2,6,1379,2024-11-29 20:53:57,1
192.168.1.5,192.168.1.6,17,915,2024-11-29 20:53:58,0
192.168.1.6,192.168.1.3,6,1258,2024-11-29 20:53:59,0
192.168.1.6,192.168.1.1,6,420,2024-11-29 20:54:00,1
192.168.1.4,192.168.1.3,6,467,2024-11-29 20:54:01,1
192.168.1.1,192.168.1.2,6,873,2024-11-29 20:54:02,1
192.168.1.6,192.168.1.2,17,682,2024-11-29 20:54:03,1
192.168.1.1,192.168.1.6,17,1084,2024-11-29 20:54:04,1
192.168.1.4,192.168.1.3,6,1434,2024-11-29 20:54:05,1
192.168.1.1,192.168.1.2,17,879,2024-11-29 20:54:06,1
192.168.1.4,192.168.1.2,6,1474,2024-11-29 20:54:07,1
192.168.1.6,192.168.1.4,6,1101,2024-11-29 20:54:08,1
192.168.1.6,192.168.1.3,17,119,2024-11-29 20:54:09,0
192.168.1.1,192.168.1.1,6,220,2024-11-29 20:54:10,0
192.168.1.4,192.168.1.6,6,1257,2024-11-29 20:54:11,0
192.168.1.6,192.168.1.3,17,854,2024-11-29 20:54:12,0
192.168.1.6,192.168.1.3,17,457,2024-11-29 20:54:13,1
192.168.1.5,192.168.1.4,6,994,2024-11-29 20:54:14,1
192.168.1.6,192.168.1.3,17,718,2024-11-29 20:54:15,1
192.168.1.3,192.168.1.6,6,753,2024-11-29 20:54:16,1
192.168.1.1,192.168.1.3,6,714,2024-11-29 20:54:17,0
192.168.1.1,192.168.1.3,6,1071,2024-11-29 20:54:18,1
192.168.1.2,192.168.1.1,6,780,2024-11-29 20:54:19,1
192.168.1.3,192.168.1.1,6,806,2024-11-29 20:54:20,0
192.168.1.3,192.168.1.4,6,997,2024-11-29 20:54:21,1
192.168.1.4,192.168.1.1,6,312,2024-11-29 20:54:22,0
192.168.1.2,192.168.1.3,6,616,2024-11-29 20:54:23,1
192.168.1.2,192.168.1.2,17,1325,2024-11-29 20:54:24,0
192.168.1.5,192.168.1.1,17,408,2024-11-29 20:54:25,0
192.168.1.2,192.168.1.3,17,1402,2024-11-29 20:54:26,0
192.168.1.5,192.168.1.2,17,293,2024-11-29 20:54:27,1
192.168.1.5,192.168.1.5,17,693,2024-11-29 20:54:28,1
192.168.1.5,192.168.1.3,17,606,2024-11-29 20:54:29,1
192.168.1.4,192.168.1.5,6,118,2024-11-29 20:54:30,1
192.168.1.1,192.168.1.5,17,1084,2024-11-29 20:54:31,0
192.168.1.6,192.168.1.3,17,1415,2024-11-29 20:54:32,1
192.168.1.6,192.168.1.1,6,426,2024-11-29 20:54:33,0
192.168.1.5,192.168.1.3,17,1347,2024-11-29 20:54:34,0
192.168.1.2,192.168.1.4,17,283,2024-11-29 20:54:35,1
192.168.1.4,192.168.1.6,6,782,2024-11-29 20:54:36,0
192.168.1.4,192.168.1.4,6,480,2024-11-29 20:54:37,1
192.168.1.2,192.168.1.3,17,504,2024-11-29 20:54:38,0
192.168.1.5,192.168.1.6,6,1489,2024-11-29 20:54:39,1
192.168.1.5,192.168.1.6,17,591,2024-11-29 20:54:40,0
192.168.1.1,192.168.1.5,6,276,2024-11-29 20:54:41,0
